"gameid","roundNum","condition","target_sub","target_basic","target_super","alt1_sub","alt1_basic","alt1_super","alt2_sub","alt2_basic","alt2_super","speakerMessages","listenerMessages","refExp","sub","basic","super","freq_sub","freq_basic","freq_super","log_freq_sub","log_freq_basic","log_freq_super","diff_logfreq_subbasic","diff_logfreq_subsuper","mean_length_sub","mean_length_basic","mean_length_super","precoded_length_sub","precoded_length_basic","precoded_length_super","ratio_length_subbasic","ratio_length_subsuper","redCondition","typ_sub","typ_basic","typ_super","ratio_typ_subbasic","ratio_typ_subsuper","binaryCondition","trial_inds"
"2298-c",2,"basic23","suv","car","vehicle","ambulance",NA,"vehicle","pottedplant",NA,"plant","SUV","","SUV",TRUE,FALSE,FALSE,5.71e-07,0.000113414,4.63e-05,-14.3758766272904,-9.08446571750066,-9.98036859687209,-5.29141090978974,-4.39550803041831,3,3.01,7,3,3,7,0.996677740863787,0.428571428571429,"basic_sufficient",0.919285714285714,0.886818181818182,0.914,1.03661126162408,1.00578305720538,"nonsub_sufficient",0
"2298-c",9,"basic22","dressshirt","shirt","clothing","dress",NA,"clothing","socks",NA,"clothing","Light blue shirt","","Light blue shirt",FALSE,TRUE,FALSE,1.65e-07,2.16e-05,2.35e-05,-15.6173203630458,-10.7428172432742,-10.6585101368142,-4.87450311977168,-4.95881022623167,11,5,8,10,5,8,2.2,1.375,"basic_sufficient",0.939166666666667,0.912222222222222,0.942727272727273,1.0295371498173,0.996223079395693,"nonsub_sufficient",1
"2298-c",14,"basic12","picnictable","table","furniture","sidetable","table","furniture","bed",NA,"furniture","Picnic table","","Picnic table",TRUE,FALSE,FALSE,5.19e-07,0.000309774,1.8e-05,-14.4713619537805,-8.07966755861639,-10.9251388000681,-6.39169439516413,-3.54622315371241,9.73,4.99,9,11,5,9,1.9498997995992,1.08111111111111,"sub_necessary",0.987222222222222,0.82625,0.631333333333333,1.19482265927047,1.56370996128124,"sub_necessary",2
"2298-c",15,"basic12","grizzlybear","bear","animal","koalabear","bear","animal","cow",NA,"animal","Brown bear","","Brown bear",FALSE,TRUE,FALSE,4.97e-07,1.9e-05,0.000117655,-14.5146758108498,-10.8710715787978,-9.04775394475643,-3.64360423205195,-5.46692186609335,9,4,6,11,4,6,2.25,1.5,"sub_necessary",0.951052631578947,0.970769230769231,0.857142857142857,0.979689715572608,1.10956140350877,"sub_necessary",3
"2298-c",16,"basic12","husky","dog","animal","greyhound","dog","animal","hamster",NA,"animal","Wolf","","Wolf",TRUE,FALSE,FALSE,2.26e-07,6.42e-05,0.000117655,-15.3027308376741,-9.65350734726836,-9.04775394475643,-5.64922349040577,-6.2549768929177,4.68,3.05,6,5,3,6,1.5344262295082,0.78,"sub_necessary",0.932142857142857,0.863333333333333,0.94,1.07970215113072,0.991641337386018,"sub_necessary",4
"2298-c",17,"basic33","parrot","bird","animal","train",NA,"vehicle","bookcase",NA,"furniture","Parrot","","Parrot",TRUE,FALSE,FALSE,2.65e-06,6.03e-05,0.000117655,-12.8409509179661,-9.71617845423113,-9.04775394475643,-3.12477246373501,-3.79319697320971,6.14,4.01,6,6,4,6,1.53117206982544,1.02333333333333,"super_sufficient",0.955333333333333,0.863913043478261,0.679090909090909,1.10582117094447,1.40678268630076,"nonsub_sufficient",5
"2298-c",18,"basic22","goldfish","fish","animal","lobster",NA,"animal","rhino",NA,"animal","Fish","","Fish",FALSE,TRUE,FALSE,1.49e-07,5.83e-05,0.000117655,-15.719319531001,-9.74990846460783,-9.04775394475643,-5.96941106639312,-6.67156558624452,7.87,4,6,8,4,6,1.9675,1.31166666666667,"basic_sufficient",0.963571428571429,0.941176470588235,0.746153846153846,1.02379464285714,1.29138438880707,"nonsub_sufficient",6
"2298-c",20,"basic33","minivan","car","vehicle","lamp",NA,"furniture","grasses",NA,"plant","Car","","Car",FALSE,TRUE,FALSE,2.63e-07,0.000113414,4.63e-05,-15.1511118047686,-9.08446571750066,-9.98036859687209,-6.06664608726799,-5.17074320789656,5.71,3.01,7,7,3,7,1.89700996677741,0.815714285714286,"super_sufficient",0.946153846153846,0.847272727272727,0.774285714285714,1.11670518322879,1.22196991200681,"nonsub_sufficient",7
"2298-c",21,"basic33","gummybears","candy","snack","grasses",NA,"plant","dress",NA,"clothing","Candy","","Candy",FALSE,TRUE,FALSE,1.28e-08,6.34e-06,4.43e-06,-18.1738206660208,-11.9686317895151,-12.3271109739072,-6.2051888765057,-5.84670969211361,8.53,5.05,5,10,5,5,1.68910891089109,1.706,"super_sufficient",0.985333333333333,0.856153846153846,0.765,1.15088349805331,1.2880174291939,"nonsub_sufficient",8
"2298-c",25,"basic23","eagle","bird","animal","lobster",NA,"animal","rosemary",NA,"plant","Bird","","Bird",FALSE,TRUE,FALSE,1.05e-05,6.03e-05,0.000117655,-11.4641353008008,-9.71617845423113,-9.04775394475643,-1.74795684656966,-2.41638135604437,4.91,4.01,6,5,4,6,1.22443890274314,0.818333333333333,"basic_sufficient",0.885,0.788125,0.9225,1.12291831879461,0.959349593495935,"nonsub_sufficient",9
